Sl.No,companies,Price,Signal,url
53,Dabur India Ltd.,553,DB,https://www.moneycontrol.com/india/stockpricequote/personal-care/daburindia/DI
54,Gland Pharma Ltd.,1741,DB,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticalsdrugs/glandpharma/GP14
55,Jubilant Foodworks Ltd.,512,DB,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/jubilantfoodworks/JF04
56,Larsen & Toubro Infotech Ltd.,5193,DB,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/larsentoubro/LT
57,United Spirits Ltd.,1007,DB,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/unitedspirits/US
58,Vedanta Ltd.,232,JB,https://www.moneycontrol.com/india/stockpricequote/miningminerals/vedanta/SG
59,PI Industries Ltd.,3628,DB,https://www.moneycontrol.com/india/stockpricequote/pesticidesagro-chemicals/piindustries/PII
60,Pidilite Industries Ltd.,2515,DB,https://www.moneycontrol.com/india/stockpricequote/chemicals/pidiliteindustries/PI11
61,Tata Consumers products,834,JB,https://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/tataconsumerproducts/TT
62,Jio Financial,233,DB,https://www.moneycontrol.com/india/stockpricequote/finance-others/jiofinancialservices/JFS
63,HAL,,,https://www.moneycontrol.com/india/stockpricequote/diversified/hindustanaeronauticsltd/HAL
64,BHEL,,,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/bharatheavyelectricals/BHE
